"slugTeam","match_up","dateGame","offrtg","defrtg","numberPeriod","slugOpp"
"PHX","PHX vs. MIL",2020-03-08,"188.0","112.0",1,"MIL"
"BKN","BKN @ LAC",2020-08-09,"187.5","104.3",1,"LAC"
"LAL","LAL @ SAC",2020-02-01,"183.3","91.7",1,"SAC"
"SAC","SAC vs. NOP",2020-08-06,"181.5","144.4",1,"NOP"
"NYK","NYK @ LAC",2020-01-05,"180.0","116.0",1,"LAC"
"ATL","ATL vs. IND",2020-01-04,"179.2","104.0",1,"IND"
"PHX","PHX vs. HOU",2020-02-07,"176.9","100.0",1,"HOU"
"MIA","MIA vs. HOU",2019-11-03,"176.9","53.8",1,"HOU"
"ORL","ORL vs. SAC",2020-08-02,"176.0","104.0",1,"SAC"
"DEN","DEN @ DET",2020-02-02,"176.0","120.0",1,"DET"
"SAS","SAS @ DEN",2020-02-10,"173.9","130.4",1,"DEN"
"IND","IND vs. ORL",2020-08-04,"172.0","91.7",1,"ORL"
"LAL","LAL @ OKC",2020-01-11,"170.8","79.2",1,"OKC"
"MIN","MIN @ DET",2019-11-11,"170.8","108.3",1,"DET"
"MIA","MIA vs. CHA",2020-03-11,"166.7","88.0",1,"CHA"
"LAL","LAL @ DAL",2020-01-10,"166.7","96.4",1,"DAL"
"TOR","TOR vs. SAC",2019-11-06,"163.6","104.5",1,"SAC"
"PHI","PHI @ LAC",2020-03-01,"162.5","147.8",1,"LAC"
"MIA","MIA @ OKC",2020-08-12,"161.5","111.5",1,"OKC"
"MEM","MEM @ SAC",2020-01-02,"161.5","100.0",1,"SAC"
"IND","IND vs. DEN",2020-01-02,"160.9","112.5",1,"DEN"
"LAL","LAL vs. PHX",2020-01-01,"159.3","63.0",1,"PHX"
"UTA","UTA vs. DAL",2020-08-10,"158.3","130.4",1,"DAL"
"DET","DET vs. PHX",2020-02-05,"158.3","134.8",1,"PHX"
"BOS","BOS vs. NOP",2020-01-11,"157.7","88.9",1,"NOP"
"CHA","CHA vs. SAS",2020-03-03,"156.5","82.6",1,"SAS"
"DEN","DEN vs. MIL",2020-03-09,"156.0","92.3",1,"MIL"
"SAC","SAC vs. WAS",2020-03-03,"156.0","92.0",1,"WAS"
"SAS","SAS @ LAC",2020-02-03,"156.0","116.0",1,"LAC"
"UTA","UTA vs. NYK",2020-01-08,"156.0","116.0",1,"NYK"
"HOU","HOU @ ATL",2020-01-08,"155.2","103.6",1,"ATL"
"CHA","CHA vs. DEN",2020-03-05,"154.5","140.9",1,"DEN"
"OKC","OKC @ MEM",2020-08-07,"154.2","108.7",1,"MEM"
"BOS","BOS vs. POR",2020-08-02,"154.2","96.0",1,"POR"
"PHX","PHX vs. DEN",2020-02-08,"154.2","116.7",1,"DEN"
"MEM","MEM @ LAC",2020-01-04,"153.8","103.8",1,"LAC"
"BOS","BOS @ PHI",2020-01-09,"152.2","108.3",1,"PHI"
"OKC","OKC @ DET",2020-03-04,"152.0","128.0",1,"DET"
"PHI","PHI vs. CHI",2020-02-09,"152.0","100.0",1,"CHI"
"MIA","MIA @ BKN",2020-01-10,"150.0","114.3",1,"BKN"
"LAL","LAL @ POR",2019-12-06,"150.0","125.9",1,"POR"
"BOS","BOS @ SAS",2019-11-09,"150.0","111.1",1,"SAS"
"BKN","BKN @ MIL",2020-08-04,"148.1","121.4",1,"MIL"
"SAC","SAC @ POR",2020-03-07,"148.1","88.9",1,"POR"
"DEN","DEN vs. TOR",2020-03-01,"148.1","118.5",1,"TOR"
"MIN","MIN vs. LAC",2020-02-08,"148.1","119.2",1,"LAC"
"BKN","BKN vs. GSW",2020-02-05,"148.1","92.6",1,"GSW"
"GSW","GSW @ WAS",2020-02-03,"148.1","128.6",1,"WAS"
"POR","POR vs. WAS",2020-03-04,"148.0","120.0",1,"WAS"
"DEN","DEN vs. POR",2020-02-04,"148.0","107.7",1,"POR"
"OKC","OKC vs. HOU",2020-01-09,"148.0","87.5",1,"HOU"
"PHX","PHX @ ORL",2019-12-04,"148.0","124.0",1,"ORL"
"PHI","PHI vs. DET",2020-03-11,"147.8","120.8",1,"DET"
"LAC","LAC vs. PHI",2020-03-01,"147.8","162.5",1,"PHI"
"BOS","BOS vs. PHI",2019-12-12,"147.8","116.7",1,"PHI"
"BKN","BKN vs. CHA",2019-12-11,"147.8","108.3",1,"CHA"
"LAL","LAL @ UTA",2019-12-04,"147.8","113.0",1,"UTA"
"DEN","DEN vs. ATL",2019-11-12,"147.8","108.7",1,"ATL"
"GSW","GSW vs. POR",2019-11-04,"147.8","139.1",1,"POR"
"BKN","BKN vs. SAS",2020-03-06,"146.4","78.6",1,"SAS"
"POR","POR @ DAL",2020-08-11,"146.2","124.0",1,"DAL"
